1	34115,16164,14504,21992,24359,198,168,7566,283,4695,5062,651,8091,2518,1617,3829,297,5913,4231,1706,8635,1789,1670,9901,291,7489,8668,2629,282,10702,2476,5273,2734,5358
2	12210,19273,21937,21938,16392,13852,16362,208,2239,2400,4130,2281,3308,1478,7424,5150,6519,694
3	22052,22055,22063,43936,55779,46754,24650,78825,1177,15518,15501,22147,13172,20948,21075,18621,20411,21327,19523,41371,20414,20906,44438,24788,26814,33358,92302,91114,70,45,5035,2598,200,43,226,1121,1789,806,3388,2837,980,6276,4632,1611,4440,1092,4013,9395,4007,813,9578,12336,14177,48462,20267,23119,88547,81021,1817,1019,1794,810,2050,10017,46376,15782,4866,14156,33290,21316,19639,57616,73946,52186,77804,90272,39582,87909,81739,94483,21179,27674,51926,51825,98904,35135,13213,44937,21076,82839,30018,51863,61861,91084,17878,72561,51888,60117,79780,24214,1965,27569,45770,35575,4090,636,8463,3407
4	58378,82,2696,221,3744,5140,15533,33599,29306,20937,13276,17864,46,4,127,128,1990,19,743,2031,10609,10610,11076,10692,41003,39305,4929,3350,16010,15491,23916,44733,709,3397,1779,23530,45101,4381,242,702,720,5329,1178,5723,3296,1864,744,811,6959,164,2923,803,4902,306,1379,7431,938,812,765,3857,1380,7633,4957,4631,26410,62521,62523,21993,54823,9166,47107,21099,24132,51701,40959,85023,27304
5	12933,39306,2852,937,2958,20909,22576,23088,55324,69181,26238,38047,20360,206,396,4410,35400,19727,3158
6	2854,62006,2224,2630,3152,3159,3177,635,736,27290,87150,37157,19634,21762,21763,14423,121,144,3049,981,22058
7	82393,19303,16320,17936,24154,55882,62412,8583,22054,62422,2139,885,757,807,3958,17884,26859,42033,24652,30384,936,243,7758,5550
8	23507,51947,14138,20076,14143,21013,60819,41796,41042,2699,8388,14360,35290,20305,801,2093,3351,20306,82174,52477
9	6532,3550,886,95696,22234,8743,14254,14356,60150,41978,62667,17635
10	56,8205,1123,52523,5260,5139,2024,4472,26168,6717,13721,29421,83641
11	44656,19183,177,1070,1175,10653,21041,32871,32854,41167,17170,37582,3196,4485,7380,5868
12	7411,1468,36592,31843,13733,3293,9634,5647,10863,34,2349,9077
13	106128,11953,2315,59613,7758,8896,8931,4433,10281,1541,7827,8585,2530,5821,22967,7175
14	2073,1976,22968,2314,23416,9197,1102,7032,2749,55979
15	2384,2423,2312,10542,7096,3638,20434,20121,51594,10423,10421,21424
16	57541,9166,890,1458,1435,3503,12960,24429,154,94185,2914
17	802,1179,12947,3882,35529,11541,1491,1498,4858,12612,3221,3911,15799,10570
18	1699,1314,12613,56953,4099,10660,32490,2350,3420,1406,9443,3640,2316,18851,1877,31686,670,3286,3428,2089,106129
19	7227,2416,23941,15597,81393,23337,13563,1494,1928,5244,11352,12271,11883,10764,12614,95382,3114
20	2074,10091,16256,9638,4088,36450,13241,3981,597,8842,55406,4576,16132,15869,10238,677,12948,14177,3934,733,17342,4116,9354,4090,9364,11644,3410,3050,14960
21	8219,3718,2095,2094,20120,1503,616,16003,1566,4650,13236,22373,24230,2239,12457,5707,681,137,6225,8707,2485
22	718,3920,35608,11046,8178,1583,4351,18722,57749,3860,2484,8485,19736
23	6019,5776,100194,8632,13504,15921,10211,106130,21338
24	10439,21501,1243,9235,11981,20103,36688,1282,106131,10112,1616,5758
25	78867,13520,36906,3910,9339,80065,7693,117
26	78865,11168,598,18628,12615,22863,6994,12616
27	4538,14588,13007,7474,31150,1833
28	5283,4105,2086,76108,55284,58658,14937
29	2414,12179,3344,5820,22489,28393,74768,38542,2794,106132,1813,1674,2519,21335,8509
30	57936,19273,1946,21975,2921,13010,134,5466,1504
31	56671,18914,11926,935,3609,4386,1257,39107,49100,27508,1584,2934,32723
32	7464,8610,50021,13,8477,8835,18528,33919,2285,5125,2346,5850,4901,21972
33	3423,7228,5877,13066,51304,27329,95071,62254,15532,5180
34	48253,7994,3633,18460,1732,9859,23136,4258,6089,3595,18767,106133,2317,101498,5975,2383
35	24939,1432,4886,24827,13022,4958,7604,14423,12240,1888,51092,96202,4111,32846
36	25280,8586,14181,4317,13096,54029,31160,104882,70162,12130,8010
37	6047,2354,17885,31841,31157,35149,77426,16892,18648,32427,82983,40548,40546,31159,44784,19327,11127,2385,12211,2313,36576,9255,19706,13216
38	31153,35289,1631,3094,8467,40547,6806,3083,52008,5309,16016,68824,36560,55751,1376,1595,22884,5
39	1452,8542,1502,22219,59780,56393,56420,36099,77668,17695,32438
40	10083,69504,692,33752,6871,28018,65,2117,2167,1084,1819
41	36407,30534,7481,11963,19215,530,8985,8572,3110,5490,49289,2920,9351,50549,1184,9746
